CRN,PNC No,NOMS No,Fullname (O),Tier Cd (OMT),Risk Of Harm Cds,Offender Manager,Organisation Private Ind (OfM),Organisation (OfM),Provider (OfM),Provider Cd (OfM),LDU (OfM),LDU Cd (OfM),Team (OfM),Team Cd (OfM),MAPPA Y/N,MAPPA Levels
crn code,pnc num,mangled nomis,Bobby Pin,C2,risk of harm,ROSS JONES,Y,CRC,NPS,C1234,NPS Trafford,N01TRF,Team 1,A,N,1
crn code,pnc num,mangled nomis,Bobby Pin,A1,risk of harm,ROSS JONES,Y,NPS,NPS,N1234,Gwent LDU,WPTGWT,Team 1,A,Y,1
crn code,pnc num,mangled nomis,Bobby Pin,C2,risk of harm,ROSS JONES,Y,NPS,NPS,N1234,West Wales,WPTWES,Team 1,A,N,1
crn code,pnc num,mangled nomis,Bobby Pin,B2,risk of harm,ROSS JONES,N,NPS,NPS,C1234,CRC HEF,C172HEF,Team 1,A,Y,1
crn code,pnc num,mangled nomis,Bobby Pin,D1,risk of harm,ROSS JONES,Y,CRC,NPS,N1234,NPS Bolton,N014403,Team 1,A,Y,1
crn code,pnc num,mangled nomis,Bobby Pin,D1,risk of harm,ROSS JONES,N,CRC,NPS,C1234,CRC HEF,C172HEF,Team 1,A,Y,1
crn code,pnc num,mangled nomis,Bobby Pin,D2,risk of harm,ROSS JONES,Y,NPS,NPS,C1234,NPS Bolton,N014403,Team 1,A,Y,1
crn code,pnc num,mangled nomis,Bobby Pin,A1,risk of harm,ROSS JONES,Y,CRC,NPS,C1234,Stoke LDU,SWM11G,Team 1,A,Y,1
crn code,pnc num,mangled nomis,Bobby Pin,D2,risk of harm,ROSS JONES,N,CRC,NPS,N1234,CRC HEF,C172HEF,Team 1,A,N,1
crn code,pnc num,mangled nomis,Bobby Pin,,risk of harm,ROSS JONES,N,CRC,NPS,N1234,Stoke LDU,SWM11G,Team 1,A,N,1
crn code,pnc num,G5823GP,Bobby Pin,D1,risk of harm,ROSS JONES,N,CRC,NPS,N1234,NPS Trafford,N01TRF,Team 1,A,Y,1
crn code,pnc num,G3902GW,Bobby Pin,C1,risk of harm,ROSS JONES,Y,NPS,NPS,C1234,Stoke LDU,SWM11G,Team 1,A,Y,1
